Var1_1,Var1_2,Var1_3,Var1_4
-65048.2722108565,-14643.5608038605,-4551.50334445909,3.98935475
-64962.9819070754,-14157.4691538132,-3664.57710395727,7.68917624
-64891.5512313215,-13860.9977170511,-3157.94995620584,11.11561643
-64929.9043832247,-13889.5424514955,-3233.52756433326,14.28417758
-64917.1419661131,-13834.2823692302,-3170.45063126239,17.2097313
-64905.7240597723,-13768.6020048658,-3078.81481501007,19.90653712
-64888.2632311886,-13685.4224074033,-2960.53708988783,22.38826077
-64922.5772296501,-13847.3424557898,-3136.97015991522,24.66799198
-64909.760762259,-13777.5528566446,-3036.49868566284,26.75826191
-64901.8582001838,-13742.5477211484,-2988.76950825399,28.67106026
-64887.7523294549,-13671.4831738933,-2886.13884621874,30.41785188
-64916.4174083904,-13721.5294727332,-3041.7301948136,32.00959314
-64908.3537174879,-13655.4112320849,-2965.42215199209,33.45674785
-64899.882672466,-13598.644629954,-2896.60712236587,34.76930286
-64889.5305282926,-13539.8652374059,-2823.81351062541,35.95678329
-64879.625505472,-13482.2707093886,-2755.29443916344,37.02826739
-64864.1261606767,-13394.3560598819,-2652.90345000545,37.99240117
-64838.1678120898,-13269.1102944118,-2505.27918267836,38.85741249
-64821.5508785963,-13188.3104148803,-2418.31150625736,39.63112505
-64694.906848586,-13161.8965618249,-2198.17158062443,40.32097189
-64699.0162130632,-13146.2000064166,-2199.06170438212,40.93400861
-64689.5901418472,-13093.001455032,-2147.99700530453,41.47692633
-64675.9751947469,-13027.5417394144,-2084.87232125637,41.95606429
-64667.9940282132,-12990.8800744438,-2052.42563467377,42.37742214
-64655.5105317356,-12923.946561229,-1991.42730208235,42.74667197
-64651.4294635512,-12906.7142665462,-1977.45962656344,43.06916999
-64628.7027825071,-12811.3723128476,-1888.64097834418,43.34996801
-64623.7943295552,-12778.831950078,-1868.35158454424,43.59382451
-64609.2501634328,-12707.715677209,-1810.62701207451,43.80521559
-64604.0831513317,-12668.0108543356,-1782.94846384225,43.98834546
-64584.4331184385,-12587.2829848297,-1717.541207551,44.14715685
-64771.0104328292,-12990.8047887065,-2179.71315329777,44.28534101
-64749.6360679215,-12883.6128817281,-2083.6701069564,44.4063475
-64735.8581338031,-12799.5241457926,-2016.71003949394,44.51339378
-64719.8388675152,-12756.7457842007,-2013.54848729205,44.60947446
