Var1_1,Var1_2,Var1_3,Var1_4,Var1_5
-64843.4348525268,-14595.3328980757,-4541.79391098178,-2138.40855276932,21.74806264
-64843.4348525264,-14595.3328980756,-4541.79391098169,-2138.40855276941,24.92595987
-64758.0489794247,-14108.0153125892,-3649.03234368534,-1837.39334630153,27.89865916
-64686.5622834608,-13810.8618730788,-3139.30632831556,-1614.73743618502,30.67784802
-64724.9181488697,-13839.3949206513,-3213.30739323601,-1412.36743378453,33.27472071
-64712.1470978385,-13784.0584638944,-3149.95272271588,-1334.30030948316,35.6999933
-64700.7176791948,-13718.2518810986,-3057.69178621297,-1258.66096888573,37.96391852
-64683.2424769341,-13634.9184386368,-2938.77349136121,-1184.24597629937,40.07630017
-64717.5814647561,-13797.0538266704,-3115.87093078674,-1261.40958695615,42.04650728
-64704.7527948366,-13727.1309622372,-3014.80146133746,-1183.99888212318,43.88348786
-64696.8445342178,-13692.0709201123,-2966.94003273539,-1160.64145694395,45.59578247
-64682.7263060678,-13620.872672936,-2863.75008537603,-1095.33831304214,47.19153732
-64711.4037472139,-13671.114369295,-3020.04797483952,-1087.38485398551,48.67851721
-64703.3290773044,-13604.885945334,-2943.13128097125,-1005.82799937742,50.06411807
-64694.8484862831,-13548.0215194011,-2873.80237646826,-948.021295203652,51.35537927
-64684.4866787351,-13489.1471219813,-2800.61626183771,-900.871938777096,52.55899557
-64674.5722862467,-13431.4622786064,-2731.70919151382,-850.06278251507,53.68132888
-64659.0584672148,-13343.4050651275,-2628.61039606701,-773.638688133068,54.72841962
-64633.0797172148,-13217.9626646614,-2480.12144248175,-680.637465681623,55.70599795
-64616.4501162617,-13137.049799943,-2392.69754677554,-626.349279162519,56.61949457
-64489.7956126487,-13110.4324200705,-2172.79198871485,-871.033767513438,57.4740514
-64493.9037526712,-13094.7478249522,-2173.87245951777,-848.911846013046,58.27453188
-64484.469689321,-13041.4845120002,-2122.55957691392,-801.417397526587,59.02553109
-64470.8446177425,-12975.9372440183,-2058.99756486022,-742.933626820826,59.73138559
-64462.8584439067,-12939.245069788,-2026.58117100923,-723.259016971709,60.39618301
-64450.3646725181,-12872.2240991996,-1965.11384336821,-662.708492039351,61.02377139
-64446.2813360434,-12854.9798940046,-1951.18248086778,-656.908144778031,61.6177683
-64423.5402697536,-12759.520820568,-1861.85556864038,-583.908512834913,62.18156971
-64418.6274907082,-12726.9565864769,-1841.50453678634,-560.710656988848,62.71835863
-64404.0729977381,-12655.764059445,-1783.45172704367,-507.057286082246,63.23111352
-64398.9001258188,-12616.0138086742,-1755.46312761631,-467.787365863036,63.72261651
-64379.2384255032,-12535.2012459495,-1689.71608104127,-417.69274692545,64.19546132
-64565.8776341398,-12939.2387831184,-2152.90572074955,-490.888308845709,64.65206107
-64544.4873866523,-12831.9229027528,-2056.37178472196,-416.538593132821,65.09465581
-64530.6973802705,-12747.7475094216,-1989.06963018342,-355.508776289222,65.52531985
-64514.6739309039,-12704.9810093203,-1986.17285650755,-355.522381123467,65.9459689
-64510.2234099511,-12636.6145159147,-1902.44204663559,-280.63165455929,66.35836702
-64495.1871457821,-12553.3058431001,-1838.72356479545,-222.662193941796,66.76413333
-64485.5522410078,-12497.3611492786,-1802.02526255117,-189.226873271162,67.16474862
-64475.7631405679,-12439.6389075795,-1763.75500935864,-155.148248304554,67.56156165
-64472.6924989418,-12408.5885839628,-1749.97453897072,-133.412545144935,67.95579535
-64457.1859202558,-12332.2644640743,-1697.55381733474,-94.090523026069,68.34855283
-64452.6497323009,-12298.8885225227,-1677.84692630363,-71.6939089931159,68.74082317
-64432.9160121257,-12202.071370997,-1614.36772243,-15.066605006013,69.1334871
-64436.7881717149,-12194.1436703487,-1621.45926911771,-4.81805672274328,69.52732244
-64418.7280739401,-12114.366392358,-1568.00505600058,30.06932649562,69.92300941
-64415.6479393363,-12089.2104116131,-1558.43118142551,41.6946292733482,70.32113581
